iter	Passed	Remaining
0	54	54206
1	104	51996
2	161	53821
3	214	53365
4	269	53719
5	324	53775
6	380	54046
7	437	54214
8	499	54959
9	559	55345
10	612	55089
11	669	55141
12	729	55379
13	791	55749
14	844	55464
15	900	55387
16	963	55693
17	1018	55552
18	1072	55351
19	1125	55159
20	1181	55068
21	1239	55079
22	1295	55027
23	1352	54986
24	1420	55407
25	1473	55216
26	1531	55183
27	1585	55039
28	1638	54861
29	1696	54842
30	1751	54746
31	1804	54578
32	1863	54601
33	1923	54657
34	1979	54566
35	2038	54593
36	2093	54493
37	2150	54437
38	2206	54375
39	2262	54288
40	2321	54311
41	2374	54164
42	2434	54178
43	2489	54098
44	2544	53992
45	2597	53877
46	2650	53745
47	2710	53760
48	2763	53627
49	2844	54045
50	2897	53914
51	2951	53811
52	3004	53679
53	3056	53547
54	3112	53479
55	3171	53455
56	3228	53412
57	3285	53359
58	3339	53268
59	3391	53139
60	3449	53104
61	3502	52982
62	3561	52974
63	3616	52896
64	3671	52810
65	3730	52789
66	3789	52776
67	3854	52829
68	3917	52861
69	3976	52833
70	4034	52782
71	4091	52731
72	4145	52639
73	4198	52542
74	4272	52691
75	4327	52608
76	4380	52503
77	4433	52403
78	4486	52306
79	4539	52199
80	4596	52145
81	4654	52110
82	4715	52094
83	4771	52031
84	4831	52014
85	4884	51914
86	4939	51841
87	4994	51765
88	5051	51706
89	5106	51633
90	5161	51563
91	5219	51510
92	5274	51441
93	5330	51381
94	5390	51353
95	5445	51276
96	5501	51211
97	5554	51119
98	5609	51052
99	5677	51099
100	5731	51017
101	5791	50985
102	5848	50931
103	5903	50861
104	5957	50777
105	6013	50720
106	6078	50726
107	6132	50649
108	6201	50689
109	6258	50639
110	6315	50581
111	6371	50515
112	6424	50430
113	6477	50346
114	6536	50305
115	6590	50227
116	6648	50179
117	6710	50159
118	6765	50089
119	6819	50010
120	6872	49924
121	6925	49844
122	6978	49759
123	7033	49689
124	7103	49724
125	7159	49664
126	7234	49733
127	7295	49699
128	7353	49652
129	7412	49607
130	7466	49530
131	7519	49447
132	7572	49363
133	7625	49278
134	7683	49231
135	7739	49171
136	7794	49097
137	7852	49048
138	7909	48996
139	7965	48930
140	8021	48866
141	8075	48793
142	8129	48717
143	8186	48663
144	8243	48607
145	8298	48539
146	8353	48475
147	8413	48433
148	8465	48352
149	8540	48394
150	8598	48346
151	8652	48269
152	8704	48189
153	8759	48120
154	8813	48045
155	8872	48003
156	8926	47930
157	8981	47862
158	9034	47785
159	9089	47718
160	9143	47648
161	9200	47590
162	9259	47545
163	9316	47492
164	9372	47428
165	9429	47373
166	9484	47310
167	9540	47246
168	9598	47199
169	9654	47135
170	9710	47075
171	9765	47011
172	9819	46941
173	9875	46880
174	9947	46896
175	10002	46830
176	10055	46755
177	10108	46678
178	10166	46628
179	10219	46556
180	10275	46497
181	10330	46431
182	10385	46365
183	10440	46303
184	10494	46230
185	10552	46182
186	10610	46132
187	10667	46073
188	10722	46010
189	10780	45957
190	10836	45900
191	10891	45836
192	10946	45771
193	11001	45706
194	11056	45642
195	11115	45595
196	11170	45532
197	11227	45476
198	11300	45487
199	11358	45433
