Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-21,5 stars?,,https://boxd.it/esqyQ,

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,Three Colours: Red,1994,https://boxd.it/2b7q,
4,Blade Runner 2049,2017,https://boxd.it/b8wK,
5,Enter the Void,2009,https://boxd.it/1dy2,
6,Pulp Fiction,1994,https://boxd.it/29Pq,
7,Suspiria,1977,https://boxd.it/1SNW,
8,Persona,1966,https://boxd.it/29B4,
9,Seven Samurai,1954,https://boxd.it/2axi,
