Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-29,PretentiousHorror,,https://boxd.it/ukPY8,

Position,Name,Year,URL,Description
1,Woman in the Dunes,1964,https://boxd.it/1JNS,
2,Kwaidan,1964,https://boxd.it/1kbY,
3,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC,
4,The Vanishing,1988,https://boxd.it/1ZTW,
5,Demons,1971,https://boxd.it/3yiy,
6,Eraserhead,1977,https://boxd.it/299u,
7,Cure,1997,https://boxd.it/1blA,
8,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
9,Martyrs,2008,https://boxd.it/1Yqu,
10,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
11,Diabolique,1955,https://boxd.it/29we,
12,Angst,1983,https://boxd.it/1G46,
13,Possession,1981,https://boxd.it/1BPm,
14,Suspiria,1977,https://boxd.it/1SNW,
15,The Night of the Hunter,1955,https://boxd.it/25HW,
16,The Brood,1979,https://boxd.it/1ovS,
