Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-10-28,Ju-on: The Curse,2000,https://boxd.it/2eWUuJ,3.5,,,2021-10-27
2021-10-29,Ju-on: The Curse 2,2000,https://boxd.it/2f2o8j,3.5,,,2021-10-28
2021-10-31,The Omen,1976,https://boxd.it/2fpjif,4,,,2021-10-30
2021-11-02,Ju-on: The Grudge,2002,https://boxd.it/2fOF0H,4.5,,,2021-11-01
2021-11-03,Ju-on: The Grudge 2,2003,https://boxd.it/2fZaw5,3.5,,,2021-11-02
2021-11-04,The Grudge,2004,https://boxd.it/2g7tb7,3.5,,,2021-11-03
2021-11-06,Pineapple Express,2008,https://boxd.it/2gpuc7,3,,,2021-11-06
2021-11-09,Scream 3,2000,https://boxd.it/2gR5zh,3,Yes,,2021-11-08
2021-11-09,Eternals,2021,https://boxd.it/2gTeVl,4,,,2021-11-08
2021-11-10,Last Night in Soho,2021,https://boxd.it/2h3z7L,4,,,2021-11-10
2021-11-12,The French Dispatch,2021,https://boxd.it/2hju8V,4.5,,,2021-11-11
2021-11-15,All the President's Men,1976,https://boxd.it/2hRVLN,4,,,2021-11-14
2021-11-16,No Time to Die,2021,https://boxd.it/2i6GWr,4,Yes,,2021-11-15
2021-11-18,Mulholland Drive,2001,https://boxd.it/2ik1zT,5,Yes,,2021-11-18
2021-11-20,Insidious: Chapter 2,2013,https://boxd.it/2izQ4d,3.5,Yes,,2021-11-19
2021-11-23,Howl's Moving Castle,2004,https://boxd.it/2j57Wt,3.5,,,2021-11-23
2021-11-24,The Grudge 2,2006,https://boxd.it/2jdcAN,2.5,,,2021-11-23
2021-11-26,Venom: Let There Be Carnage,2021,https://boxd.it/2ju7hF,2,,,2021-11-25
2021-11-28,Three Colours: Blue,1993,https://boxd.it/2jO0tf,4.5,,,2021-11-27
2021-11-29,The Grudge 3,2009,https://boxd.it/2jZqC5,1.5,,,2021-11-28
2021-11-30,Sympathy for Mr. Vengeance,2002,https://boxd.it/2k9tGf,4,,,2021-11-29
2021-12-02,The Hand of God,2021,https://boxd.it/2kpK2t,4.5,,,2021-12-01
2021-12-03,After We Fell,2021,https://boxd.it/2kyYu5,1,,,2021-12-03
2021-12-05,The Amazing Spider-Man,2012,https://boxd.it/2kQjml,3.5,Yes,,2021-12-04
2021-12-06,Persona,1966,https://boxd.it/2l1Y3B,4.5,,,2021-12-05
2021-12-06,Zorns Lemma,1970,https://boxd.it/2l2qtx,4,,,2021-12-06
2021-12-07,Three Colours: White,1994,https://boxd.it/2lbBVF,4,,,2021-12-06
2021-12-08,Ju-On: White Ghost,2009,https://boxd.it/2lkqLn,3.5,,,2021-12-08
2021-12-08,Ju-On: Black Ghost,2009,https://boxd.it/2lkqQR,2.5,,,2021-12-08
2021-12-09,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2lswXl,4.5,Yes,,2021-12-09
2021-12-12,The Hunt,2012,https://boxd.it/2lS7yH,4,,,2021-12-11
2021-12-12,The Amazing Spider-Man 2,2014,https://boxd.it/2lSKqH,3,Yes,,2021-12-12
