Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-24,Cannes22,,https://boxd.it/gI5I6,

Position,Name,Year,URL,Description
1,Don Juan,2022,https://boxd.it/orPs,
2,November,2022,https://boxd.it/v3JO,
3,Joyland,2022,https://boxd.it/AlzM,
4,Forever Young,2022,https://boxd.it/w2zA,
5,The Dam,2022,https://boxd.it/Aam8,
6,Nostalgia,2022,https://boxd.it/jKyK,
7,Decision to Leave,2022,https://boxd.it/qp9e,
8,Crimes of the Future,2022,https://boxd.it/uTuY,
9,The Trial,1962,https://boxd.it/25Xg,
