Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-03,CriterionChallenge22,"cc2022, criterion challenge 2022",https://boxd.it/eIEve,"<b>Original Challenge:<a href=""https://boxd.it/dU3uy"" rel=""nofollow""> here</a></b>
1. Watch a movie from the year you were born.
2. 1920s
3. 1930s
4. 1940s
5. 1950s
6. 1960s
7. 1970s
8. 1980s
9. 1990s
10. 2000s
11. 2010s
12. Genre: War
13. Genre: Science Fiction
14. Genre: Musical/Music Themed
15. Watch a film by a director whose work you haven't seen before
16. Directed by Chantal Akerman
17. Directed by Rainer Werner Fassbinder
18. Directed by Wong Kar-wai
19. Directed by Claire Denis
20. Isabel Sandoval's Top 10
21. Bill Hader's Top 10
22. Ana Lily Amirpour's Top 10
23. Richard Linklater's Top 10
24. Made in the United States
25. Made in Poland
26. Made in Iran
27. Made in Mexico
28. Made in Senegal
29. Watch a film that has an out of print physical release
30. Watch a film from the ""America Lost and Found: The BBS Story"" collection
31. Watch a film with a spine #1-100
32. Watch a film with a spine #500-600 
33. Cannes Film Festival Winners
34. Midnight Madness: Watch a cult classic
35. Growing Pains: Watch a coming of age film
36. Stage to Screen: Watch a stage adaptation
37. Out at Criterion: Watch an LGBTQ film
38. Watch a film on the Summer Travels list
39. Watch a film on the Hollywood Classics list
40. Watch a film from the Animation Before the 2000s list
41. Starring Catherine Deneuve
42. Starring Anna Karina
43. Starring Jeanne Moreau
44. Paul Dano's Closet Picks
45. Ethan Hawke and Jonathan Marc Sherman's Closet Picks
46. Michael K. Williams’ Closet Picks
47. Sean Baker's Closet Picks
48. Amy Heckerling's Closet Picks
49. Agnes Varda's Closet Picks
50. Random number generator
51. Watch a film featured in any of the Essential Art House box sets
52. Any Criterion film on your watchlist"

Position,Name,Year,URL,Description
1,Election,1999,https://boxd.it/1YEc,
2,The Phantom Carriage,1921,https://boxd.it/l4s,
3,M,1931,https://boxd.it/29vq,
4,Bicycle Thieves,1948,https://boxd.it/23hW,
5,A Man Escaped,1956,https://boxd.it/1MzY,
6,Woman in the Dunes,1964,https://boxd.it/1JNS,
7,Stalker,1979,https://boxd.it/28PO,
8,"Paris, Texas",1984,https://boxd.it/29Ts,
9,La Haine,1995,https://boxd.it/2as8,
10,In the Mood for Love,2000,https://boxd.it/29tE,
11,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
12,Come and See,1985,https://boxd.it/1w9q,
13,Videodrome,1983,https://boxd.it/29uC,
14,Koyaanisqatsi,1982,https://boxd.it/1U9E,
15,Harakiri,1962,https://boxd.it/1NTU,
16,Je Tu Il Elle,1974,https://boxd.it/3gWK,
17,Lola,1981,https://boxd.it/273u,
18,Chungking Express,1994,https://boxd.it/1UDa,
19,Beau Travail,1999,https://boxd.it/1NI8,
20,Klute,1971,https://boxd.it/2ako,
21,Dazed and Confused,1993,https://boxd.it/1Ylk,
22,Repo Man,1984,https://boxd.it/1Plg,
23,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
24,City Lights,1931,https://boxd.it/29ki,
25,Blind Chance,1987,https://boxd.it/2b4G,
26,Taste of Cherry,1997,https://boxd.it/1m8W,
27,Amores Perros,2000,https://boxd.it/2bfu,
28,Touki Bouki,1973,https://boxd.it/2H44,
29,Alphaville,1965,https://boxd.it/20AG,
30,Five Easy Pieces,1970,https://boxd.it/1tww,
31,Diabolique,1955,https://boxd.it/29we,
32,Anatomy of a Murder,1959,https://boxd.it/2baa,
33,Crash,1996,https://boxd.it/29n2,
34,Godzilla,1954,https://boxd.it/28kc,
35,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC,
36,The Magic Flute,1975,https://boxd.it/QUa,
37,Y Tu Mamá También,2001,https://boxd.it/28QM,
38,The Vanishing,1988,https://boxd.it/1ZTW,
39,Roman Holiday,1953,https://boxd.it/29zW,
40,Son of the White Mare,1981,https://boxd.it/10f2,
41,Repulsion,1965,https://boxd.it/1TKu,
42,Pierrot le Fou,1965,https://boxd.it/26j2,
43,La Notte,1961,https://boxd.it/10iU,
44,Donkey Skin,1970,https://boxd.it/22V2,
45,Ace in the Hole,1951,https://boxd.it/1vXk,
46,Hunger,2008,https://boxd.it/1Wso,
47,Naked,1993,https://boxd.it/1BT4,
48,Tokyo Story,1953,https://boxd.it/1HuY,
49,Sweetie,1989,https://boxd.it/4HM,
50,Kwaidan,1964,https://boxd.it/1kbY,
51,Close-Up,1990,https://boxd.it/1m9q,
52,A Christmas Tale,2008,https://boxd.it/1ZEs,
