Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-13,Favorites,,https://boxd.it/nhC64,

Position,Name,Year,URL,Description
1,Django Unchained,2012,https://boxd.it/2cCk,
2,Psycho,1960,https://boxd.it/2ab2,
3,Mulholland Drive,2001,https://boxd.it/297o,
4,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
5,The Shining,1980,https://boxd.it/29Nu,
6,Metropolis,1927,https://boxd.it/71a,
7,Climax,2018,https://boxd.it/ikvo,
8,The Lighthouse,2019,https://boxd.it/icFU,
9,Three Colours: Blue,1993,https://boxd.it/2b7K,
10,Before Sunset,2004,https://boxd.it/2bcg,
11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
12,Come and See,1985,https://boxd.it/1w9q,
13,Blade Runner 2049,2017,https://boxd.it/b8wK,
14,In Bruges,2008,https://boxd.it/20n8,
15,Nightcrawler,2014,https://boxd.it/780m,
16,Spider-Man 2,2004,https://boxd.it/2a88,
17,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
18,The Evil Dead,1981,https://boxd.it/29Go,
19,Star Wars,1977,https://boxd.it/72s,
20,Scream,1996,https://boxd.it/24EC,
21,Suspiria,1977,https://boxd.it/1SNW,
22,Toy Story,1995,https://boxd.it/29qA,
23,Back to the Future,1985,https://boxd.it/2b8e,
24,Inglourious Basterds,2009,https://boxd.it/1JzG,
25,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
26,Trainspotting,1996,https://boxd.it/29XY,
27,The Fly,1986,https://boxd.it/1YIe,
28,Gone Girl,2014,https://boxd.it/6hQu,
29,Nocturnal Animals,2016,https://boxd.it/bkFu,
30,Locke,2013,https://boxd.it/6hHC,
