Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-05,Top23,,https://boxd.it/rCz0U,

Position,Name,Year,URL,Description
1,Perfect Days,2023,https://boxd.it/ATh8,
2,Poor Things,2023,https://boxd.it/tNWU,
3,Oppenheimer,2023,https://boxd.it/wUow,
4,The Holdovers,2023,https://boxd.it/vHza,
5,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
6,Green Border,2023,https://boxd.it/GqGq,
7,Anatomy of a Fall,2023,https://boxd.it/yuDE,
8,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
9,Past Lives,2023,https://boxd.it/oNB8,
10,Asteroid City,2023,https://boxd.it/s3ds,
