Date,Name,Year,Letterboxd URI,Rating,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2021-04-14,Fast & Furious,2009,https://boxd.it/1Pnm,3.5,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.",Justin Lin,,Action,Crime,Japan,USA,2.9,288237
2021-04-14,Slumdog Millionaire,2008,https://boxd.it/1S3E,4.0,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Danny Boyle,,Drama,Romance,UK,,3.92,514412
2021-04-14,Alice in Wonderland,2010,https://boxd.it/1Spq,3.0,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Tim Burton,,Family,Fantasy,USA,,3.21,882783
2021-04-14,Milk,2008,https://boxd.it/1WZC,3.5,"The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans.",Gus Van Sant,,Drama,History,USA,,3.77,96014
2021-04-14,Beauty and the Beast,1991,https://boxd.it/1XhG,4.0,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",Gary Trousdale,Kirk Wise,Romance,Fantasy,USA,,3.9,652250
2021-04-14,[REC],2007,https://boxd.it/20ma,3.0,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,Jaume Balagueró,Paco Plaza,Horror,Mystery,Spain,,3.68,328305
2021-04-14,Alien³,1992,https://boxd.it/20zS,3.0,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",David Fincher,,Horror,Science Fiction,USA,,2.82,320087
2021-04-14,The Imaginarium of Doctor Parnassus,2009,https://boxd.it/20DA,3.0,A travelling theatre company has more to it than meets the eye.,Terry Gilliam,,Fantasy,Adventure,Canada,France,3.21,56982
2021-04-14,Death Proof,2007,https://boxd.it/27GG,4.0,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",Quentin Tarantino,,Thriller,Action,USA,,3.58,359777
2021-04-14,Point Break,1991,https://boxd.it/2958,3.5,"In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",Kathryn Bigelow,,Thriller,Crime,Japan,USA,3.75,276968
