Date,Name,Year,Letterboxd URI
2021-11-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-11-01,The Fighter,2010,https://boxd.it/PP4
2021-11-01,Antichrist,2009,https://boxd.it/1Inu
2021-11-01,Cinema Paradiso,1988,https://boxd.it/1UlA
2021-11-01,Cast Away,2000,https://boxd.it/20i8
2021-11-01,Gangs of New York,2002,https://boxd.it/25FG
2021-11-01,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2021-11-01,Saving Private Ryan,1998,https://boxd.it/29ro
2021-11-01,Black Hawk Down,2001,https://boxd.it/29rI
2021-11-01,Platoon,1986,https://boxd.it/29BS
2021-11-01,Full Metal Jacket,1987,https://boxd.it/2a1Q
2021-11-01,The Green Mile,1999,https://boxd.it/2agG
2021-11-01,A Beautiful Mind,2001,https://boxd.it/2amk
2021-11-01,The Pianist,2002,https://boxd.it/2aqc
2021-11-01,Once Upon a Time in America,1984,https://boxd.it/2aCs
2021-11-01,North by Northwest,1959,https://boxd.it/2aRM
2021-11-01,Braveheart,1995,https://boxd.it/2aTI
2021-11-01,Léon: The Professional,1994,https://boxd.it/2b8S
2021-11-01,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y
2021-11-01,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG
2021-11-01,Dark Night,2016,https://boxd.it/cXRw
2021-11-01,Hostiles,2017,https://boxd.it/dpiO
2021-11-01,Fences,2016,https://boxd.it/dL6A
2021-11-01,Kramer vs. Kramer,1979,https://boxd.it/h0w
2021-11-01,Let Me In,2010,https://boxd.it/Zsa
2021-11-01,Dogtooth,2009,https://boxd.it/158K
2021-11-01,Bronson,2008,https://boxd.it/1GM8
2021-11-01,The Deer Hunter,1978,https://boxd.it/1T6O
2021-11-01,Stir of Echoes,1999,https://boxd.it/1Ts6
2021-11-01,The Machinist,2004,https://boxd.it/248c
2021-11-01,Road to Perdition,2002,https://boxd.it/24Lo
2021-11-01,Inland Empire,2006,https://boxd.it/28d6
2021-11-01,Magnolia,1999,https://boxd.it/2aze
2021-11-01,"Faster, Pussycat! Kill! Kill!",1965,https://boxd.it/2aBO
2021-11-01,Million Dollar Baby,2004,https://boxd.it/2bdI
2021-11-01,The Master,2012,https://boxd.it/2cBG
2021-11-01,The Nightingale,2018,https://boxd.it/e1Ga
2021-11-01,The Party,2017,https://boxd.it/eEVS
2021-11-01,Mandy,2018,https://boxd.it/gtti
2021-11-01,Mother,2009,https://boxd.it/1m9g
2021-11-01,Hour of the Wolf,1968,https://boxd.it/1H9G
2021-11-01,The Wrestler,2008,https://boxd.it/1So8
