Date,Name,Year,Letterboxd URI,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2021-10-31,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,,Science Fiction,Romance,USA,,4.24,2418087.0
2021-10-31,The Fighter,2010,https://boxd.it/PP4,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",David O. Russell,,Drama,,USA,,3.82,217714.0
2021-10-31,Antichrist,2009,https://boxd.it/1Inu,"A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",Lars von Trier,,Thriller,Horror,Denmark,France,3.4,198836.0
2021-10-31,Cinema Paradiso,1988,https://boxd.it/1UlA,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",Giuseppe Tornatore,,Drama,Romance,France,Italy,4.48,342954.0
2021-10-31,Cast Away,2000,https://boxd.it/20i8,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",Robert Zemeckis,,Drama,Adventure,USA,,3.88,590526.0
2021-10-31,Gangs of New York,2002,https://boxd.it/25FG,"In 1863, Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",Martin Scorsese,,History,Drama,USA,Italy,3.71,356489.0
2021-10-31,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",Stanley Kubrick,,Comedy,War,UK,USA,4.3,481629.0
2021-10-31,Saving Private Ryan,1998,https://boxd.it/29ro,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Steven Spielberg,,History,Drama,USA,,4.24,1041787.0
2021-10-31,Black Hawk Down,2001,https://boxd.it/29rI,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",Ridley Scott,,Action,History,UK,USA,3.67,197352.0
2021-10-31,Platoon,1986,https://boxd.it/29BS,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",Oliver Stone,,War,Action,UK,USA,3.97,253352.0
2021-10-31,Full Metal Jacket,1987,https://boxd.it/2a1Q,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,,Drama,War,UK,USA,4.21,751645.0
2021-10-31,The Green Mile,1999,https://boxd.it/2agG,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Frank Darabont,,Drama,Crime,USA,,4.25,836760.0
2021-10-31,A Beautiful Mind,2001,https://boxd.it/2amk,"From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.",Ron Howard,,Drama,Romance,USA,,3.85,448338.0
2021-10-31,The Pianist,2002,https://boxd.it/2aqc,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",Roman Polanski,,Drama,War,France,Germany,4.39,879440.0
2021-10-31,Once Upon a Time in America,1984,https://boxd.it/2aCs,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Sergio Leone,,Crime,Drama,USA,,4.22,224318.0
2021-10-31,North by Northwest,1959,https://boxd.it/2aRM,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",Alfred Hitchcock,,Mystery,Adventure,USA,,4.19,268947.0
2021-10-31,Braveheart,1995,https://boxd.it/2aTI,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Mel Gibson,,History,Action,USA,,3.89,373274.0
2021-10-31,Léon: The Professional,1994,https://boxd.it/2b8S,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",Luc Besson,,Crime,Action,France,,4.02,1037478.0
2021-10-31,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,Lars von Trier,,Mystery,Drama,Germany,Belgium,3.31,135529.0
2021-10-31,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",Lars von Trier,,Drama,,Germany,Belgium,3.49,190398.0
2021-10-31,Dark Night,2016,https://boxd.it/cXRw,"Dark Night enigmatically unfolds over the course of a lazy summer day, as it traces the events leading up to a mass shooting in a suburban multiplex. Abandoning the narrative confines of the true crime genre, the story is told through fragmented moments from the lives of several characters, whose fates are tragically intertwined. As the sky grows darker, the placid surface of daily life becomes disturbed by a lurking and inevitable horror.",Tim Sutton,,Drama,,USA,,2.66,1896.0
2021-10-31,Hostiles,2017,https://boxd.it/dpiO,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.,Scott Cooper,,Western,History,USA,,3.54,75029.0
2021-10-31,Fences,2016,https://boxd.it/dL6A,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",Denzel Washington,,Drama,,Canada,USA,3.62,109048.0
2021-10-31,Kramer vs. Kramer,1979,https://boxd.it/h0w,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",Robert Benton,,Drama,,USA,,4.06,144178.0
2021-10-31,Let Me In,2010,https://boxd.it/Zsa,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian. A remake of the movie “Let The Right One In” which was an adaptation of a book.,Matt Reeves,,Drama,Mystery,Sweden,UK,3.33,68898.0
2021-10-31,Dogtooth,2009,https://boxd.it/158K,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission.",Yorgos Lanthimos,,Drama,,Greece,,3.73,277223.0
2021-10-31,Bronson,2008,https://boxd.it/1GM8,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",Nicolas Winding Refn,,Crime,Drama,UK,Denmark,3.63,143712.0
